Hour,A,B,C,D,E,F,G,H
0,63.16326531,43.69387755,59.74829932,54.34013605,53.14965986,55.37414966,54.34693878,62.23809524
0.25,76.06122449,45.48979592,64.12244898,56.81632653,55.14965986,57.98639456,55.21088435,65.24489796
0.5,89.02040816,47.94557823,68.97959184,62.65986395,60.67346939,64.23809524,59.49659864,71.65306122
0.75,100.9455782,48.87755102,72.78911565,64.88435374,61.57823129,65.74829932,59.33333333,72.18367347
1,112.8843537,51.10204082,76.47619048,68.3877551,65.07482993,69.55102041,60.93197279,75.01360544
1.25,126.5238095,53.34693878,81.92517007,72.41496599,68.19047619,74.17687075,63.78231293,79.40816327
1.5,136.244898,53.16326531,82.82312925,74.1292517,68.89115646,74.16326531,63.27891156,79.5170068
1.75,147.6054422,56.39455782,87.04081633,76.83673469,71.5170068,77.56462585,65.34013605,82.70748299
2,157.1292517,55.91156463,88.80272109,79.49659864,74.01360544,79.81632653,66.52380952,84.24489796
2.25,164.3401361,56.4829932,90.54421769,80.59183673,74.97278912,81.34013605,67.42857143,85.67346939
2.5,172.2517007,56.61904762,91.38095238,81.10884354,75.16326531,81.46938776,66.76870748,85.91836735
2.75,180.8435374,57.78231293,93.61904762,83.25170068,77.44897959,83.44217687,67.94557823,87.07482993
3,186.3401361,58.68027211,95.08843537,84.21088435,77.46258503,83.79591837,68.01360544,87.68027211
3.25,194.3741497,59.26530612,96.5170068,86.68027211,80.32653061,85.95238095,69.82993197,89.92517007
3.5,200.2108844,58.50340136,95.82312925,85.14965986,78.61904762,85.14285714,67.66666667,88.61904762
3.75,206,60.33333333,98.26530612,87.23809524,80.7755102,87.14965986,69.45578231,90.81632653
4,211.3333333,61.10884354,99.79591837,88.23129252,80.95918367,88.10204082,69.76190476,91.34013605
4.25,216.0272109,60.89115646,100.5782313,88.85714286,81.44217687,88.50340136,69.46258503,91.4829932
4.5,221.1292517,62.34013605,102.2380952,89.83673469,83.13605442,90.78911565,71.26530612,93.8707483
4.75,225.0612245,62.44217687,102.1904762,90.50340136,83.31972789,90.37414966,70.59863946,93.10884354
5,228.5238095,61.46258503,102.7959184,91.08163265,83.84353741,90.4829932,70.14965986,93.44217687
5.25,231.1768707,62.05442177,103.0748299,91.19727891,83.88435374,90.78231293,70.31972789,93.89795918
5.5,235.0340136,63.34693878,104.7006803,92.46258503,85.04081633,92.41496599,71.93197279,95.68027211
5.75,238.707483,63.02721088,104.4557823,92.73469388,85.59863946,92.34693878,71.47619048,95.49659864
6,241.6666667,64.26530612,106.3469388,94.15646259,86.18367347,93.82993197,72.08163265,96.87755102
6.25,245.7891156,64.68707483,107.2585034,94.93877551,87.4829932,94.63945578,72.16326531,97.96598639
6.5,247.3605442,64.07482993,106.9863946,95.07482993,87.68707483,94.33333333,72.02040816,97.85714286
6.75,250.0408163,64.97959184,107.8027211,95.14965986,87.81632653,94.7755102,72.3537415,97.94557823
7,252.537415,65.02721088,108.4557823,95.80952381,88.13605442,95.19047619,72.31972789,99.14285714
7.25,254.4761905,65.05442177,109.4285714,96.71428571,89.31292517,96.36054422,72.55782313,99.86394558
7.5,257.4557823,64.75510204,108.755102,96.82993197,89.13605442,95.76870748,72.12244898,99.43537415
7.75,258.8027211,65.25170068,109.5918367,96.7755102,88.59863946,96.34693878,72.19727891,99.98639456
8,261.4897959,65.95238095,110.9591837,97.82312925,90.29931973,97.80272109,73.40816327,101.4693878
8.25,262.8979592,65.79591837,110.9659864,97.81632653,90.29251701,97.33333333,72.86394558,100.7278912
8.5,265.6394558,66.51020408,112.0680272,98.59183673,90.59183673,98.11564626,73.23129252,101.6666667
8.75,267.6326531,66.41496599,112.1088435,99.32653061,91.88435374,98.82312925,73.75510204,102.6258503
9,268.7210884,67.14285714,113.3877551,100.7891156,93.01360544,99.4829932,74.3877551,104.0612245
9.25,270.4761905,66.82993197,113.0204082,99.89115646,92.02040816,98.82993197,73.33333333,102.4829932
9.5,271.8367347,67.50340136,114.4693878,101.4285714,93.46938776,100.3877551,74.18367347,104.0272109
9.75,273.6326531,67.51020408,114.9863946,101.5714286,93.4829932,101.1088435,74.55102041,104.8911565
10,274.7278912,67.68027211,114.462585,101.1632653,93.34693878,99.98639456,74.02040816,104.047619
10.25,276.5170068,67.54421769,115.0680272,102.2040816,94.05442177,101.2040816,74.19047619,105.5918367
10.5,277.6802721,67.65306122,115.4081633,101.8571429,94.13605442,101.2312925,73.78231293,105.1632653
10.75,279.1088435,68.53741497,116.3401361,102.9183673,95.02721088,102.1360544,74.44897959,105.7619048
11,280.0204082,68.36054422,116.537415,103.4285714,95.33333333,102.4761905,73.96598639,106.1904762
11.25,281.5102041,69.23809524,117.1564626,103.9863946,96.3877551,103.3401361,75.41496599,107.3401361
11.5,283.3129252,69.57823129,118.2040816,104.4081633,96.72108844,103.8231293,75.60544218,108.1088435
11.75,283.8231293,70.61904762,119.3469388,105.0204082,97.71428571,104.4761905,75.86394558,107.9319728
12,284.952381,70.07482993,119.0204082,105.1156463,97.19727891,104.244898,75.14285714,108.2312925
12.25,286.1768707,69.97278912,119.952381,106.4557823,98.76870748,105.9659864,76.57823129,110.0748299
12.5,287.3401361,70.52380952,119.5578231,105.8163265,98.08843537,105.1428571,75.55102041,109.537415
12.75,288.244898,70.55102041,120.6190476,106.2789116,98.05442177,105.3265306,75.85034014,110.1836735
13,288.9727891,70.33333333,120.3537415,106.585034,98.82312925,105.9727891,76.12244898,110.0068027
13.25,290.2176871,70.80272109,121.1156463,106.9183673,99.29251701,106.6734694,76.21088435,111.0952381
13.5,291.0136054,71.99319728,122.3061224,108.2993197,100.8435374,107.9727891,77.42176871,112.0952381
13.75,291.6938776,71.19047619,122.1428571,107.952381,100.0612245,107.0884354,76.3537415,111.5034014
14,292.4285714,70.82312925,121.8571429,107.5714286,99.94557823,107.3605442,76.17687075,111.4829932
14.25,293.1564626,71.58503401,122.2380952,108.5306122,100.0748299,107.2857143,76.31292517,111.4829932
14.5,293.9659864,71.29251701,122.6326531,108.7006803,100.4965986,107.5578231,76.14285714,111.8435374
14.75,294.8435374,71.96598639,123.1292517,109.5170068,101.0340136,108.122449,76.57823129,112.6734694
15,295.6598639,72.28571429,124.1156463,109.8027211,101.537415,108.4829932,76.80272109,113.2653061
15.25,296.5646259,72.80272109,124.8367347,110.707483,102.4421769,109.6394558,77.53061224,114.2244898
15.5,296.7755102,72.3877551,124.1836735,109.9795918,102.2993197,109.0884354,77.06122449,113.5782313
15.75,298.0544218,72.71428571,125.4829932,111.5578231,103.2721088,110.1632653,78.01360544,114.9387755
16,298.3741497,73.07482993,125.7619048,111.244898,103.0136054,110.6326531,77.7755102,115.3945578
16.25,299.5170068,73.94557823,126.5918367,111.9455782,103.5714286,111.122449,77.97278912,116.5442177
16.5,299.5238095,72.95238095,126.3877551,111.6598639,103.0816327,110.1360544,77,115.0748299
16.75,300.6394558,74.24489796,127.414966,112.9727891,104.2176871,111.8979592,78.03401361,116.2857143
17,300.7823129,74.10884354,127.1088435,113.2176871,104.7755102,111.8571429,78.12244898,116.2176871
17.25,301.9319728,73.6122449,127.1632653,112.7346939,104.8979592,112.047619,78.16326531,116.6326531
17.5,302.2517007,74.1292517,127.8163265,112.9727891,104.6598639,111.755102,77.97959184,116.6326531
17.75,303.1360544,74.72789116,129.0816327,114.7755102,105.9727891,113.2380952,79.0952381,118.2040816
18,303.6530612,74.65986395,129.170068,114.5170068,105.7006803,113.2721088,78.76190476,118.0680272
18.25,304.3605442,75.38095238,129.7210884,115.5918367,107.2040816,114.0748299,79.4829932,119.1088435
18.5,304.1836735,73.81632653,128.2517007,113.8979592,105.6326531,112.7006803,77.97278912,117.3537415
18.75,304.5306122,74.80952381,129.8503401,115.3469388,107.0068027,114.047619,78.96598639,118.877551
19,305.1156463,75.63945578,130.3741497,115.8503401,107.2653061,114.5510204,78.97959184,119.2993197
19.25,306.1564626,76.04081633,130.8027211,115.952381,108.0748299,114.9727891,79.42857143,120.4489796
19.5,306.7619048,76.70068027,132.0816327,117.4557823,109.1292517,116.3605442,80.58503401,121.3129252
19.75,306.6326531,75.2244898,130.7346939,115.8707483,107.6190476,114.7891156,78.97278912,119.7142857
20,307.7687075,77.21768707,132.6666667,118.0544218,109.4421769,116.9387755,80.70068027,122.1496599
20.25,307.7891156,76.57823129,132.4421769,117.6666667,109.2585034,116.1768707,80.33333333,121.4897959
20.5,308.7210884,77.05442177,133.2040816,118.3061224,110.1632653,116.8843537,80.60544218,122.0204082
20.75,309.1292517,77.10204082,133.5782313,118.7823129,110.4693878,117.3809524,80.86394558,123.0816327
21,309.2653061,77.37414966,133.6666667,118.5102041,109.7959184,117.4489796,80.02040816,122.4013605
21.25,309.8843537,77.38095238,134.244898,119.755102,111.1292517,117.9931973,80.93197279,122.8639456
21.5,309.8435374,77.46938776,134.1020408,119.6054422,110.7346939,117.8027211,80.72789116,123.0272109
21.75,310.5714286,77.40136054,134.4897959,119.3945578,110.9183673,118.1428571,80.75510204,123.3469388
22,310.6734694,77.05442177,134.2040816,119.2653061,110.8095238,118.122449,80.50340136,123.537415
22.25,311.3061224,78.23129252,135.5986395,120.1496599,111.3877551,119.0136054,81,124.2244898
22.5,311.3265306,77.32653061,135.122449,120.5578231,112.2721088,119.4761905,81.61904762,124.952381
22.75,305.3605442,77.01360544,132.7278912,118.3333333,109.8163265,116.6326531,79.46938776,121.6598639
23,305.9183673,78.04081633,133.2789116,119.3537415,110.9319728,117.6122449,80.30612245,122.9591837
23.25,312.6190476,79.18367347,136.8163265,122.3877551,113.7619048,121,82.37414966,125.7142857
23.5,312.6802721,78.42857143,136.9115646,121.9455782,113.0816327,120.6394558,82.0952381,126.0340136
23.75,313.707483,79.62585034,137.707483,122.9863946,114.3333333,121.462585,82.95238095,126.8707483
24,313.6394558,79.11564626,137.2040816,122.7346939,114.1904762,121.170068,82.24489796,126.3197279